Pcgs_no,Country,Coin_date,Denomination,Variety,Prefix,Suffix,Qty_Minted,Reference_no,RowLastUpdated,coin_no,Service,Coin_date_Denomination_Variety
104,,1722,1/2P,ROSA AMER DEI GR,MS,,0,104,,104,PCGS,1722-1/2P-ROSA AMER DEI GR
107,,1722,PENNY,"ROSA AMER, GEORG",MS,,0,107,,107,PCGS,"1722-PENNY-ROSA AMER, GEORG"
108,,1722,PENNY,"ROSA AMER, GEORG",MS,BN,0,108,,,,"1722-PENNY-ROSA AMER, GEORG"
110,,1722,PENNY,"ROSA AMER, VTILE",MS,,0,110,,110,PCGS,"1722-PENNY-ROSA AMER, VTILE"
113,,1722,PENNY,"ROSA AMER, UTILE",MS,,0,113,,113,PCGS,"1722-PENNY-ROSA AMER, UTILE"
116,,1722,2PENCE,ROSA AMERICANA,MS,,0,116,,116,PCGS,1722-2PENCE-ROSA AMERICANA
119,,1723,1/2P,"ROSA AMER, CROWN",MS,,0,119,,119,PCGS,"1723-1/2P-ROSA AMER, CROWN"
122,,1723,1/2P,"ROSA AMER, UNCRO",MS,,0,122,,122,PCGS,"1723-1/2P-ROSA AMER, UNCRO"
125,,1723,PENNY,ROSA AMERICANA,MS,,0,125,,125,PCGS,1723-PENNY-ROSA AMERICANA
128,,1723,2PENCE,ROSA AMERICANA,MS,,0,128,,128,PCGS,1723-2PENCE-ROSA AMERICANA
131,,1724/3,PAT1P,ROSA AMER DEI GR,MS,,0,131,,131,PCGS,1724/3-PAT1P-ROSA AMER DEI GR
134,,1724/3,PAT1P,"ROSA AMER, D GRA",MS,,0,134,,134,PCGS,"1724/3-PAT1P-ROSA AMER, D GRA"
137,,-1724,PENNY,"ROSA AMER, ROSA:",MS,,0,137,,137,PCGS,"-1724-PENNY-ROSA AMER, ROSA:"
140,,1724,2PENCE,"ROSA AMER, PATTE",MS,,0,140,,140,PCGS,"1724-2PENCE-ROSA AMER, PATTE"
143,,1733,2PENCE,"ROSA AMER, PATTE",PR,BN,0,143,,143,PCGS,"1733-2PENCE-ROSA AMER, PATTE"
144,,1724/3,1P,ROSA AM. DEI GRA,SP,,0,144,,,,1724/3-1P-ROSA AM. DEI GRA
145,,1733,2PENCE,"ROSA AMER, PATTE",PR,RB,0,145,,,,"1733-2PENCE-ROSA AMER, PATTE"
146,,1722,2PENCE,"ROSA AMERICANA, ",MS,,0,146,,,,"1722-2PENCE-ROSA AMERICANA, "
149,,1722,2PENCE,"ROSA AMERICANA, ",MS,,0,149,,,,"1722-2PENCE-ROSA AMERICANA, "
152,,1722,PENNY,"ROSA AMER, VTILE",PR,BN,0,152,,,,"1722-PENNY-ROSA AMER, VTILE"
155,,1722,1/2P,"HIBERNIA, HARP R",MS,BN,0,155,,,,"1722-1/2P-HIBERNIA, HARP R"
158,,1724,1/2P,"HIBERNIA, DEI AB",MS,RB,0,158,,,,"1724-1/2P-HIBERNIA, DEI AB"
161,,1722,FARTH,HIBERNIA,MS,BN,0,161,,161,PCGS,1722-FARTH-HIBERNIA
164,,1722,1/2P,"HIBERNIA, ROCKS ",MS,BN,0,164,,164,PCGS,"1722-1/2P-HIBERNIA, ROCKS "
167,,1722,1/2P,"HIBERNIA, HARP L",MS,BN,0,167,,167,PCGS,"1722-1/2P-HIBERNIA, HARP L"
168,,1722,1/2P,"HIBERNIA, HARP L",MS,RB,0,168,,,,"1722-1/2P-HIBERNIA, HARP L"
170,,1722,1/2P,"HIBERNIA, HARP R",MS,BN,0,170,,170,PCGS,"1722-1/2P-HIBERNIA, HARP R"
173,,1723,FARTH,"HIBERNIA, D:G:RE",MS,BN,0,173,,173,PCGS,"1723-FARTH-HIBERNIA, D:G:RE"
176,,1723,FARTH,HIBERNIA DEI.GRA,MS,BN,0,176,,176,PCGS,1723-FARTH-HIBERNIA DEI.GRA
177,,1723,FARTH,HIBERNIA DEI.GRA,MS,RB,0,177,,177,PCGS,1723-FARTH-HIBERNIA DEI.GRA
179,,1723,FARTH,"HIBERNIA, SILVER",MS,,0,179,,179,PCGS,"1723-FARTH-HIBERNIA, SILVER"
179,,1723,FARTH,"HIBERNIA, SILVER",MS,,0,179,,9765,NGC,"1723-FARTH-HIBERNIA, SILVER"
180,,1723,1/2P,HIBERNIA,MS,BN,0,180,,180,PCGS,1723-1/2P-HIBERNIA
181,,1723,1/2P,HIBERNIA,MS,RB,0,181,,181,PCGS,1723-1/2P-HIBERNIA
182,,1723,1/2P,HIBERNIA,MS,RD,0,182,,,,1723-1/2P-HIBERNIA
183,,1723/2,1/2P,HIBERNIA,MS,BN,0,183,,183,PCGS,1723/2-1/2P-HIBERNIA
184,,1723/2,1/2P,HIBERNIA,MS,RB,0,184,,,,1723/2-1/2P-HIBERNIA
186,,1723,1/2P,"HIBERNIA, SILVER",MS,,0,186,,186,PCGS,"1723-1/2P-HIBERNIA, SILVER"
187,,1724,FARTH,HIBERNIA,MS,BN,0,187,,187,PCGS,1724-FARTH-HIBERNIA
188,,1724,FARTH,HIBERNIA,MS,RB,0,188,,,,1724-FARTH-HIBERNIA
190,,1724,1/2P,HIBERNIA,MS,BN,0,190,,190,PCGS,1724-1/2P-HIBERNIA
191,,1724,1/2P,HIBERNIA,MS,RB,0,191,,191,PCGS,1724-1/2P-HIBERNIA
192,,1724,1/2P,HIBERNIA,MS,RD,0,192,,192,PCGS,1724-1/2P-HIBERNIA
193,,1722,1/2P,"HIBERNIA, HARP L",SP,BN,0,193,,193,PCGS,"1722-1/2P-HIBERNIA, HARP L"
196,,1723,1/2P,HIBERNIA,SP,BN,0,196,,196,PCGS,1723-1/2P-HIBERNIA
197,,1724,1/2P,HIBERNIA DT BELO,SP,BN,0,197,,,,1724-1/2P-HIBERNIA DT BELO
198,,1724,1/2P,HIBERNIA DT BELO,SP,RB,0,198,,,,1724-1/2P-HIBERNIA DT BELO
199,,1724,1/2P,HIBERNIA DT BELO,SP,RD,0,199,,,,1724-1/2P-HIBERNIA DT BELO
201,,1737,HIGLEY,"3 HAMMERS, CONNE",MS,BN,0,201,,201,PCGS,"1737-HIGLEY-3 HAMMERS, CONNE"
204,,1737,HIGLEY,"3 HAMMERS, VALVE",MS,BN,0,204,,204,PCGS,"1737-HIGLEY-3 HAMMERS, VALVE"
207,,1737,HIGLEY,"3 HAMMERS, VALUE",MS,BN,0,207,,207,PCGS,"1737-HIGLEY-3 HAMMERS, VALUE"
210,,1737,HIGLEY,"3 HAMMERS, VALVE",MS,BN,0,210,,210,PCGS,"1737-HIGLEY-3 HAMMERS, VALVE"
213,,1737,HIGLEY,"BROAD AX, J CUT ",MS,BN,0,213,,213,PCGS,"1737-HIGLEY-BROAD AX, J CUT "
216,,1737,HIGLEY,THE WHEEL GOES R,MS,BN,0,216,,216,PCGS,1737-HIGLEY-THE WHEEL GOES R
219,,1739,HIGLEY,BROAD AX,MS,BN,0,219,,219,PCGS,1739-HIGLEY-BROAD AX
226,,NEW YORKE,TOKEN,BRASS,MS,,0,226,,226,PCGS,NEW YORKE-TOKEN-BRASS
229,,NEW YORKE,TOKEN,LEAD,MS,,0,229,,229,PCGS,NEW YORKE-TOKEN-LEAD
232,,1766,FARTH,PITT,MS,BN,0,232,,232,PCGS,1766-FARTH-PITT
235,,1766,FARTH,"PITT, SILVERED",MS,,0,235,,235,PCGS,"1766-FARTH-PITT, SILVERED"
236,,1766,1/2P,PITT,MS,BN,0,236,,236,PCGS,1766-1/2P-PITT
