Pcgs_no,Country,Coin_date,Denomination,Variety,Prefix,Suffix,Qty_Minted,Reference_no,RowLastUpdated,coin_no,Service,Coin_date_Denomination_Variety
6601,,1937,50C,,MS,,0,6601,,721027,NGC,1937-50C-
6602,,1937-D,50C,,MS,,0,6602,,6602,PCGS,1937-D-50C-
6602,,1937-D,50C,,MS,,0,6602,,16602,NGC,1937-D-50C-
6602,,1937-D,50C,,MS,,0,6602,,51030,ICG,1937-D-50C-
6602,,1937-D,50C,,MS,,0,6602,,721029,NGC,1937-D-50C-
6603,,1937-S,50C,,MS,,0,6603,,6603,PCGS,1937-S-50C-
6603,,1937-S,50C,,MS,,0,6603,,16603,NGC,1937-S-50C-
6603,,1937-S,50C,,MS,,0,6603,,51040,ICG,1937-S-50C-
6603,,1937-S,50C,,MS,,0,6603,,721030,NGC,1937-S-50C-
6604,,1938,50C,,MS,,0,6604,,6604,PCGS,1938-50C-
6604,,1938,50C,,MS,,0,6604,,16604,NGC,1938-50C-
6604,,1938,50C,,MS,,0,6604,,51050,ICG,1938-50C-
6604,,1938,50C,,MS,,0,6604,,721032,NGC,1938-50C-
6605,,1938-D,50C,,MS,,0,6605,,6605,PCGS,1938-D-50C-
6605,,1938-D,50C,,MS,,0,6605,,16605,NGC,1938-D-50C-
6605,,1938-D,50C,,MS,,0,6605,,51070,ICG,1938-D-50C-
6605,,1938-D,50C,,MS,,0,6605,,716005,NGC,1938-D-50C-
6605,,1938-D,50C,,MS,,0,6605,,721033,NGC,1938-D-50C-
6606,,1939,50C,,MS,,0,6606,,6606,PCGS,1939-50C-
6606,,1939,50C,,MS,,0,6606,,16606,NGC,1939-50C-
6606,,1939,50C,,MS,,0,6606,,51080,ICG,1939-50C-
6606,,1939,50C,,MS,,0,6606,,716006,NGC,1939-50C-
6606,,1939,50C,,MS,,0,6606,,721034,NGC,1939-50C-
6607,,1939-D,50C,,MS,,0,6607,,6607,PCGS,1939-D-50C-
6607,,1939-D,50C,,MS,,0,6607,,818224,NGC,1939-D-50C-
6607,,1939-D,50C,,MS,,0,6607,,716007,NGC,1939-D-50C-
6607,,1939-D,50C,,MS,,0,6607,,721035,NGC,1939-D-50C-
6607,,1939-D,50C,,MS,,0,6607,,16607,NGC,1939-D-50C-
6607,,1939-D,50C,,MS,,0,6607,,51100,ICG,1939-D-50C-
6608,,1939-S,50C,,MS,,0,6608,,6608,PCGS,1939-S-50C-
6608,,1939-S,50C,,MS,,0,6608,,16608,NGC,1939-S-50C-
6608,,1939-S,50C,,MS,,0,6608,,51110,ICG,1939-S-50C-
6608,,1939-S,50C,,MS,,0,6608,,721036,NGC,1939-S-50C-
6609,,1940,50C,,MS,,0,6609,,6609,PCGS,1940-50C-
6609,,1940,50C,,MS,,0,6609,,16609,NGC,1940-50C-
6609,,1940,50C,,MS,,0,6609,,51120,ICG,1940-50C-
6609,,1940,50C,,MS,,0,6609,,716008,NGC,1940-50C-
6610,,1940-S,50C,,MS,,0,6610,,6610,PCGS,1940-S-50C-
6610,,1940-S,50C,,MS,,0,6610,,16610,NGC,1940-S-50C-
6610,,1940-S,50C,,MS,,0,6610,,51140,ICG,1940-S-50C-
6611,,1941,50C,,MS,,0,6611,,6611,PCGS,1941-50C-
6611,,1941,50C,,MS,,0,6611,,16611,NGC,1941-50C-
6611,,1941,50C,,MS,,0,6611,,51150,ICG,1941-50C-
6611,,1941,50C,,MS,,0,6611,,721037,NGC,1941-50C-
6612,,1941-D,50C,,MS,,0,6612,,6612,PCGS,1941-D-50C-
6612,,1941-D,50C,,MS,,0,6612,,16612,NGC,1941-D-50C-
6612,,1941-D,50C,,MS,,0,6612,,51170,ICG,1941-D-50C-
6612,,1941-D,50C,,MS,,0,6612,,721038,NGC,1941-D-50C-
6613,,1941-S,50C,,MS,,0,6613,,6613,PCGS,1941-S-50C-
6613,,1941-S,50C,,MS,,0,6613,,16613,NGC,1941-S-50C-
6613,,1941-S,50C,,MS,,0,6613,,51180,ICG,1941-S-50C-
6614,,1942,50C,,MS,,0,6614,,6614,PCGS,1942-50C-
6614,,1942,50C,,MS,,0,6614,,16614,NGC,1942-50C-
6614,,1942,50C,,MS,,0,6614,,818226,NGC,1942-50C-
6614,,1942,50C,,MS,,0,6614,,818227,NGC,1942-50C-
6614,,1942,50C,,MS,,0,6614,,51190,ICG,1942-50C-
6615,,1942-D,50C,,MS,,0,6615,,6615,PCGS,1942-D-50C-
6615,,1942-D,50C,,MS,,0,6615,,16615,NGC,1942-D-50C-
6615,,1942-D,50C,,MS,,0,6615,,51210,ICG,1942-D-50C-
6617,,1942-S,50C,,MS,,0,6617,,6617,PCGS,1942-S-50C-
6617,,1942-S,50C,,MS,,0,6617,,16617,NGC,1942-S-50C-
6617,,1942-S,50C,,MS,,0,6617,,51220,ICG,1942-S-50C-
6617,,1942-S,50C,,MS,,0,6617,,818230,NGC,1942-S-50C-
6617,,1942-S,50C,,MS,,0,6617,,818231,NGC,1942-S-50C-
6618,,1943,50C,,MS,,0,6618,,6618,PCGS,1943-50C-
6618,,1943,50C,,MS,,0,6618,,721039,NGC,1943-50C-
6618,,1943,50C,,MS,,0,6618,,16618,NGC,1943-50C-
6618,,1943,50C,,MS,,0,6618,,51230,ICG,1943-50C-
6619,,1943-D,50C,,MS,,0,6619,,6619,PCGS,1943-D-50C-
6619,,1943-D,50C,,MS,,0,6619,,16619,NGC,1943-D-50C-
6619,,1943-D,50C,,MS,,0,6619,,51240,ICG,1943-D-50C-
6620,,1943-S,50C,,MS,,0,6620,,6620,PCGS,1943-S-50C-
6620,,1943-S,50C,,MS,,0,6620,,721040,NGC,1943-S-50C-
6620,,1943-S,50C,,MS,,0,6620,,16620,NGC,1943-S-50C-
6620,,1943-S,50C,,MS,,0,6620,,51250,ICG,1943-S-50C-
6621,,1944,50C,,MS,,0,6621,,6621,PCGS,1944-50C-
6621,,1944,50C,,MS,,0,6621,,16621,NGC,1944-50C-
6621,,1944,50C,,MS,,0,6621,,51260,ICG,1944-50C-
6622,,1944-D,50C,,MS,,0,6622,,6622,PCGS,1944-D-50C-
6622,,1944-D,50C,,MS,,0,6622,,721041,NGC,1944-D-50C-
6622,,1944-D,50C,,MS,,0,6622,,16622,NGC,1944-D-50C-
6622,,1944-D,50C,,MS,,0,6622,,51270,ICG,1944-D-50C-
6623,,1944-S,50C,,MS,,0,6623,,6623,PCGS,1944-S-50C-
6623,,1944-S,50C,,MS,,0,6623,,16623,NGC,1944-S-50C-
6623,,1944-S,50C,,MS,,0,6623,,51280,ICG,1944-S-50C-
6623,,1944-S,50C,,MS,,0,6623,,818233,NGC,1944-S-50C-
6623,,1944-S,50C,,MS,,0,6623,,818234,NGC,1944-S-50C-
6624,,1945,50C,,MS,,0,6624,,6624,PCGS,1945-50C-
6624,,1945,50C,,MS,,0,6624,,16624,NGC,1945-50C-
6624,,1945,50C,,MS,,0,6624,,51290,ICG,1945-50C-
6625,,1945-D,50C,,MS,,0,6625,,6625,PCGS,1945-D-50C-
6625,,1945-D,50C,,MS,,0,6625,,16625,NGC,1945-D-50C-
6625,,1945-D,50C,,MS,,0,6625,,51300,ICG,1945-D-50C-
6626,,1945-S,50C,,MS,,0,6626,,6626,PCGS,1945-S-50C-
6626,,1945-S,50C,,MS,,0,6626,,16626,NGC,1945-S-50C-
6626,,1945-S,50C,,MS,,0,6626,,51310,ICG,1945-S-50C-
6626,,1945-S,50C,,MS,,0,6626,,721042,NGC,1945-S-50C-
6627,,1946,50C,,MS,,0,6627,,6627,PCGS,1946-50C-
6627,,1946,50C,,MS,,0,6627,,16627,NGC,1946-50C-
6627,,1946,50C,,MS,,0,6627,,51320,ICG,1946-50C-
6627,,1946,50C,,MS,,0,6627,,721044,NGC,1946-50C-
6627,,1946,50C,,MS,,0,6627,,818235,NGC,1946-50C-
6627,,1946,50C,,MS,,0,6627,,818236,NGC,1946-50C-
6628,,1946-D,50C,,MS,,0,6628,,6628,PCGS,1946-D-50C-
6628,,1946-D,50C,,MS,,0,6628,,16628,NGC,1946-D-50C-
6628,,1946-D,50C,,MS,,0,6628,,51340,ICG,1946-D-50C-
6628,,1946-D,50C,,MS,,0,6628,,721045,NGC,1946-D-50C-
6629,,1946-S,50C,,MS,,0,6629,,6629,PCGS,1946-S-50C-
6629,,1946-S,50C,,MS,,0,6629,,16629,NGC,1946-S-50C-
6629,,1946-S,50C,,MS,,0,6629,,51350,ICG,1946-S-50C-
6630,,1947,50C,,MS,,0,6630,,6630,PCGS,1947-50C-
6630,,1947,50C,,MS,,0,6630,,16630,NGC,1947-50C-
6630,,1947,50C,,MS,,0,6630,,51360,ICG,1947-50C-
6630,,1947,50C,,MS,,0,6630,,721046,NGC,1947-50C-
6631,,1947-D,50C,,MS,,0,6631,,6631,PCGS,1947-D-50C-
6631,,1947-D,50C,,MS,,0,6631,,16631,NGC,1947-D-50C-
6631,,1947-D,50C,,MS,,0,6631,,51370,ICG,1947-D-50C-
6631,,1947-D,50C,,MS,,0,6631,,721047,NGC,1947-D-50C-
6632,,1946,50C,DOUBLED DIE REVE,MS,,0,6632,,6632,PCGS,1946-50C-DOUBLED DIE REVE
6632,,1946,50C,DOUBLED DIE REVE,MS,,0,6632,,51330,ICG,1946-50C-DOUBLED DIE REVE
6635,,WALKING,50C,,PR,,0,6635,1/1/1900,6635,PCGS,WALKING-50C-
6635,,WALKING,50C,,PR,,0,6635,1/1/1900,16635,NGC,WALKING-50C-
6636,,1936,50C,,PR,,0,6636,,6636,PCGS,1936-50C-
6636,,1936,50C,,PR,,0,6636,,16636,NGC,1936-50C-
6636,,1936,50C,,PR,,0,6636,,50980,ICG,1936-50C-
6637,,1937,50C,,PR,,0,6637,,6637,PCGS,1937-50C-
6637,,1937,50C,,PR,,0,6637,,51020,ICG,1937-50C-
6637,,1937,50C,,PR,,0,6637,,16637,NGC,1937-50C-
6638,,1938,50C,,PR,,0,6638,,6638,PCGS,1938-50C-
6638,,1938,50C,,PR,,0,6638,,16638,NGC,1938-50C-
6638,,1938,50C,,PR,,0,6638,,51060,ICG,1938-50C-
6639,,1939,50C,,PR,,0,6639,,6639,PCGS,1939-50C-
6639,,1939,50C,,PR,,0,6639,,717042,NGC,1939-50C-
6639,,1939,50C,,PR,,0,6639,,721116,NGC,1939-50C-
6639,,1939,50C,,PR,,0,6639,,16639,NGC,1939-50C-
6639,,1939,50C,,PR,,0,6639,,51090,ICG,1939-50C-
6640,,1940,50C,,PR,,0,6640,,6640,PCGS,1940-50C-
6640,,1940,50C,,PR,,0,6640,,16640,NGC,1940-50C-
6640,,1940,50C,,PR,,0,6640,,51130,ICG,1940-50C-
6641,,1941,50C,,PR,,0,6641,,6641,PCGS,1941-50C-
6641,,1941,50C,,PR,,0,6641,,818240,NGC,1941-50C-
6641,,1941,50C,,PR,,0,6641,,51160,ICG,1941-50C-
6641,,1941,50C,,PR,,0,6641,,16641,NGC,1941-50C-
6642,,1942,50C,,PR,,0,6642,,6642,PCGS,1942-50C-
6642,,1942,50C,,PR,,0,6642,,717043,NGC,1942-50C-
6642,,1942,50C,,PR,,0,6642,,16642,NGC,1942-50C-
6642,,1942,50C,,PR,,0,6642,,51200,ICG,1942-50C-
6650,,FRANKLIN,50C,,MS,,0,6650,1/1/1900,6650,PCGS,FRANKLIN-50C-
6650,,FRANKLIN,50C,,MS,,0,6650,1/1/1900,16650,NGC,FRANKLIN-50C-
6651,,1948,50C,,MS,,0,6651,,6651,PCGS,1948-50C-
6651,,1948,50C,,MS,,0,6651,,16651,NGC,1948-50C-
6651,,1948,50C,,MS,,0,6651,,51380,ICG,1948-50C-
6651,,1948,50C,,MS,,0,6651,,705460,NGC,1948-50C-
6651,,1948,50C,,MS,,0,6651,,721058,NGC,1948-50C-
6652,,1948-D,50C,,MS,,0,6652,,6652,PCGS,1948-D-50C-
6652,,1948-D,50C,,MS,,0,6652,,16652,NGC,1948-D-50C-
6652,,1948-D,50C,,MS,,0,6652,,51400,ICG,1948-D-50C-
6652,,1948-D,50C,,MS,,0,6652,,705461,NGC,1948-D-50C-
6653,,1949,50C,,MS,,0,6653,,6653,PCGS,1949-50C-
6653,,1949,50C,,MS,,0,6653,,16653,NGC,1949-50C-
6653,,1949,50C,,MS,,0,6653,,51420,ICG,1949-50C-
6653,,1949,50C,,MS,,0,6653,,705462,NGC,1949-50C-
6654,,1949-D,50C,,MS,,0,6654,,6654,PCGS,1949-D-50C-
6654,,1949-D,50C,,MS,,0,6654,,16654,NGC,1949-D-50C-
6654,,1949-D,50C,,MS,,0,6654,,51440,ICG,1949-D-50C-
6654,,1949-D,50C,,MS,,0,6654,,705463,NGC,1949-D-50C-
6655,,1949-S,50C,,MS,,0,6655,,6655,PCGS,1949-S-50C-
6655,,1949-S,50C,,MS,,0,6655,,16655,NGC,1949-S-50C-
6655,,1949-S,50C,,MS,,0,6655,,51460,ICG,1949-S-50C-
6656,,1950,50C,,MS,,0,6656,,6656,PCGS,1950-50C-
6656,,1950,50C,,MS,,0,6656,,16656,NGC,1950-50C-
6656,,1950,50C,,MS,,0,6656,,51480,ICG,1950-50C-
6657,,1950-D,50C,,MS,,0,6657,,6657,PCGS,1950-D-50C-
6657,,1950-D,50C,,MS,,0,6657,,16657,NGC,1950-D-50C-
6657,,1950-D,50C,,MS,,0,6657,,51530,ICG,1950-D-50C-
6658,,1951,50C,,MS,,0,6658,,6658,PCGS,1951-50C-
6658,,1951,50C,,MS,,0,6658,,16658,NGC,1951-50C-
6658,,1951,50C,,MS,,0,6658,,51550,ICG,1951-50C-
6659,,1951-D,50C,,MS,,0,6659,,6659,PCGS,1951-D-50C-
6659,,1951-D,50C,,MS,,0,6659,,16659,NGC,1951-D-50C-
6659,,1951-D,50C,,MS,,0,6659,,51600,ICG,1951-D-50C-
6660,,1951-S,50C,,MS,,0,6660,,6660,PCGS,1951-S-50C-
6660,,1951-S,50C,,MS,,0,6660,,16660,NGC,1951-S-50C-
6660,,1951-S,50C,,MS,,0,6660,,51620,ICG,1951-S-50C-
6661,,1952,50C,,MS,,0,6661,,6661,PCGS,1952-50C-
6661,,1952,50C,,MS,,0,6661,,16661,NGC,1952-50C-
6661,,1952,50C,,MS,,0,6661,,51640,ICG,1952-50C-
6662,,1952-D,50C,,MS,,0,6662,,6662,PCGS,1952-D-50C-
6662,,1952-D,50C,,MS,,0,6662,,16662,NGC,1952-D-50C-
6662,,1952-D,50C,,MS,,0,6662,,51690,ICG,1952-D-50C-
6663,,1952-S,50C,,MS,,0,6663,,6663,PCGS,1952-S-50C-
6663,,1952-S,50C,,MS,,0,6663,,16663,NGC,1952-S-50C-
6663,,1952-S,50C,,MS,,0,6663,,51710,ICG,1952-S-50C-
6664,,1953,50C,,MS,,0,6664,,6664,PCGS,1953-50C-
6664,,1953,50C,,MS,,0,6664,,16664,NGC,1953-50C-
6664,,1953,50C,,MS,,0,6664,,51730,ICG,1953-50C-
6664,,1953,50C,,MS,,0,6664,,721059,NGC,1953-50C-
6665,,1953-D,50C,,MS,,0,6665,,6665,PCGS,1953-D-50C-
6665,,1953-D,50C,,MS,,0,6665,,16665,NGC,1953-D-50C-
6665,,1953-D,50C,,MS,,0,6665,,51780,ICG,1953-D-50C-
6665,,1953-D,50C,,MS,,0,6665,,721060,NGC,1953-D-50C-
6666,,1953-S,50C,,MS,,0,6666,,6666,PCGS,1953-S-50C-
6666,,1953-S,50C,,MS,,0,6666,,16666,NGC,1953-S-50C-
6666,,1953-S,50C,,MS,,0,6666,,51800,ICG,1953-S-50C-
6667,,1954,50C,,MS,,0,6667,,6667,PCGS,1954-50C-
6667,,1954,50C,,MS,,0,6667,,16667,NGC,1954-50C-
6667,,1954,50C,,MS,,0,6667,,51820,ICG,1954-50C-
6668,,1954-D,50C,,MS,,0,6668,,6668,PCGS,1954-D-50C-
6668,,1954-D,50C,,MS,,0,6668,,16668,NGC,1954-D-50C-
6668,,1954-D,50C,,MS,,0,6668,,51870,ICG,1954-D-50C-
6669,,1954-S,50C,,MS,,0,6669,,6669,PCGS,1954-S-50C-
6669,,1954-S,50C,,MS,,0,6669,,16669,NGC,1954-S-50C-
6669,,1954-S,50C,,MS,,0,6669,,51890,ICG,1954-S-50C-
6670,,1955,50C,,MS,,0,6670,,6670,PCGS,1955-50C-
6670,,1955,50C,,MS,,0,6670,,721061,NGC,1955-50C-
6670,,1955,50C,,MS,,0,6670,,16670,NGC,1955-50C-
6670,,1955,50C,,MS,,0,6670,,51910,ICG,1955-50C-
6671,,1956,50C,,MS,,0,6671,,6671,PCGS,1956-50C-
6671,,1956,50C,,MS,,0,6671,,16671,NGC,1956-50C-
6671,,1956,50C,,MS,,0,6671,,51960,ICG,1956-50C-
6672,,1957,50C,,MS,,0,6672,,6672,PCGS,1957-50C-
6672,,1957,50C,,MS,,0,6672,,16672,NGC,1957-50C-
6672,,1957,50C,,MS,,0,6672,,52010,ICG,1957-50C-
6672,,1957,50C,,MS,,0,6672,,721062,NGC,1957-50C-
6673,,1957-D,50C,,MS,,0,6673,,6673,PCGS,1957-D-50C-
6673,,1957-D,50C,,MS,,0,6673,,16673,NGC,1957-D-50C-
6673,,1957-D,50C,,MS,,0,6673,,52060,ICG,1957-D-50C-
6674,,1958,50C,,MS,,0,6674,,6674,PCGS,1958-50C-
6674,,1958,50C,,MS,,0,6674,,16674,NGC,1958-50C-
6674,,1958,50C,,MS,,0,6674,,721063,NGC,1958-50C-
6674,,1958,50C,,MS,,0,6674,,52080,ICG,1958-50C-
6675,,1958-D,50C,,MS,,0,6675,,6675,PCGS,1958-D-50C-
6675,,1958-D,50C,,MS,,0,6675,,16675,NGC,1958-D-50C-
6675,,1958-D,50C,,MS,,0,6675,,52130,ICG,1958-D-50C-
6676,,1959,50C,,MS,,0,6676,,6676,PCGS,1959-50C-
6676,,1959,50C,,MS,,0,6676,,16676,NGC,1959-50C-
6676,,1959,50C,,MS,,0,6676,,52150,ICG,1959-50C-
6677,,1959-D,50C,,MS,,0,6677,,6677,PCGS,1959-D-50C-
6677,,1959-D,50C,,MS,,0,6677,,16677,NGC,1959-D-50C-
6677,,1959-D,50C,,MS,,0,6677,,52200,ICG,1959-D-50C-
6678,,1960,50C,,MS,,0,6678,,6678,PCGS,1960-50C-
6678,,1960,50C,,MS,,0,6678,,16678,NGC,1960-50C-
6678,,1960,50C,,MS,,0,6678,,52220,ICG,1960-50C-
6679,,1960-D,50C,,MS,,0,6679,,6679,PCGS,1960-D-50C-
6679,,1960-D,50C,,MS,,0,6679,,16679,NGC,1960-D-50C-
6679,,1960-D,50C,,MS,,0,6679,,52270,ICG,1960-D-50C-
6680,,1961,50C,,MS,,0,6680,,6680,PCGS,1961-50C-
6680,,1961,50C,,MS,,0,6680,,16680,NGC,1961-50C-
6680,,1961,50C,,MS,,0,6680,,52290,ICG,1961-50C-
6681,,1961-D,50C,,MS,,0,6681,,6681,PCGS,1961-D-50C-
6681,,1961-D,50C,,MS,,0,6681,,16681,NGC,1961-D-50C-
6681,,1961-D,50C,,MS,,0,6681,,52370,ICG,1961-D-50C-
6681,,1961-D,50C,,MS,,0,6681,,721064,NGC,1961-D-50C-
6682,,1962,50C,,MS,,0,6682,,6682,PCGS,1962-50C-
6682,,1962,50C,,MS,,0,6682,,721065,NGC,1962-50C-
6682,,1962,50C,,MS,,0,6682,,16682,NGC,1962-50C-
6682,,1962,50C,,MS,,0,6682,,52390,ICG,1962-50C-
6683,,1962-D,50C,,MS,,0,6683,,6683,PCGS,1962-D-50C-
6683,,1962-D,50C,,MS,,0,6683,,16683,NGC,1962-D-50C-
6683,,1962-D,50C,,MS,,0,6683,,52440,ICG,1962-D-50C-
6684,,1963,50C,,MS,,0,6684,,6684,PCGS,1963-50C-
6684,,1963,50C,,MS,,0,6684,,52460,ICG,1963-50C-
6684,,1963,50C,,MS,,0,6684,,16684,NGC,1963-50C-
6685,,1963-D,50C,,MS,,0,6685,,6685,PCGS,1963-D-50C-
6685,,1963-D,50C,,MS,,0,6685,,16685,NGC,1963-D-50C-
6685,,1963-D,50C,,MS,,0,6685,,52510,ICG,1963-D-50C-
6686,,1956,50C,TYPE 1,PR,,0,6686,,6686,PCGS,1956-50C-TYPE 1
6686,,1956,50C,TYPE 1,PR,,0,6686,,819114,NGC,1956-50C-TYPE 1
6687,,1951-S,50C,Double Die,MS,,0,6687,1/1/1900,6687,PCGS,1951-S-50C-Double Die
6689,,1961,50C,DOUBLED DIE REVE,PR,,0,6689,,6689,PCGS,1961-50C-DOUBLED DIE REVE
6689,,1961,50C,DOUBLED DIE REVE,PR,,0,6689,,52340,ICG,1961-50C-DOUBLED DIE REVE
6690,,FRANKLIN,50C,,PR,,0,6690,1/1/1900,6690,PCGS,FRANKLIN-50C-
6690,,FRANKLIN,50C,,PR,,0,6690,1/1/1900,16690,NGC,FRANKLIN-50C-
6691,,1950,50C,,PR,,0,6691,,6691,PCGS,1950-50C-
6691,,1950,50C,,PR,,0,6691,,705702,NGC,1950-50C-
6691,,1950,50C,,PR,,0,6691,,16691,NGC,1950-50C-
6691,,1950,50C,,PR,,0,6691,,51500,ICG,1950-50C-
6692,,1951,50C,,PR,,0,6692,,6692,PCGS,1951-50C-
6692,,1951,50C,,PR,,0,6692,,16692,NGC,1951-50C-
6692,,1951,50C,,PR,,0,6692,,51570,ICG,1951-50C-
6693,,1952,50C,,PR,,0,6693,,6693,PCGS,1952-50C-
6693,,1952,50C,,PR,,0,6693,,16693,NGC,1952-50C-
6693,,1952,50C,,PR,,0,6693,,51660,ICG,1952-50C-
6694,,1953,50C,,PR,,0,6694,,6694,PCGS,1953-50C-
6694,,1953,50C,,PR,,0,6694,,16694,NGC,1953-50C-
6694,,1953,50C,,PR,,0,6694,,51750,ICG,1953-50C-
6695,,1954,50C,,PR,,0,6695,,6695,PCGS,1954-50C-
6695,,1954,50C,,PR,,0,6695,,721117,NGC,1954-50C-
6695,,1954,50C,,PR,,0,6695,,51840,ICG,1954-50C-
6695,,1954,50C,,PR,,0,6695,,16695,NGC,1954-50C-
6696,,1955,50C,,PR,,0,6696,,6696,PCGS,1955-50C-
6696,,1955,50C,,PR,,0,6696,,721118,NGC,1955-50C-
6696,,1955,50C,,PR,,0,6696,,16696,NGC,1955-50C-
6696,,1955,50C,,PR,,0,6696,,51930,ICG,1955-50C-
6697,,1956,50C,TYPE 2,PR,,0,6697,,6697,PCGS,1956-50C-TYPE 2
6697,,1956,50C,TYPE 2,PR,,0,6697,,16697,NGC,1956-50C-TYPE 2
6697,,1956,50C,TYPE 2,PR,,0,6697,,51980,ICG,1956-50C-TYPE 2
6697,,1956,50C,TYPE 2,PR,,0,6697,,819117,NGC,1956-50C-TYPE 2
6698,,1957,50C,,PR,,0,6698,,6698,PCGS,1957-50C-
6698,,1957,50C,,PR,,0,6698,,16698,NGC,1957-50C-
6698,,1957,50C,,PR,,0,6698,,52030,ICG,1957-50C-
6699,,1958,50C,,PR,,0,6699,,6699,PCGS,1958-50C-
6699,,1958,50C,,PR,,0,6699,,721120,NGC,1958-50C-
6699,,1958,50C,,PR,,0,6699,,16699,NGC,1958-50C-
6699,,1958,50C,,PR,,0,6699,,52100,ICG,1958-50C-
6700,,1959,50C,,PR,,0,6700,,6700,PCGS,1959-50C-
6700,,1959,50C,,PR,,0,6700,,721121,NGC,1959-50C-
6700,,1959,50C,,PR,,0,6700,,16700,NGC,1959-50C-
6700,,1959,50C,,PR,,0,6700,,52170,ICG,1959-50C-
6701,,1960,50C,,PR,,0,6701,,6701,PCGS,1960-50C-
6701,,1960,50C,,PR,,0,6701,,721122,NGC,1960-50C-
6701,,1960,50C,,PR,,0,6701,,818243,NGC,1960-50C-
6701,,1960,50C,,PR,,0,6701,,16701,NGC,1960-50C-
6701,,1960,50C,,PR,,0,6701,,52240,ICG,1960-50C-
6702,,1961,50C,,PR,,0,6702,,6702,PCGS,1961-50C-
6702,,1961,50C,,PR,,0,6702,,16702,NGC,1961-50C-
6702,,1961,50C,,PR,,0,6702,,818246,NGC,1961-50C-
6702,,1961,50C,,PR,,0,6702,,52310,ICG,1961-50C-
6703,,1962,50C,,PR,,0,6703,,6703,PCGS,1962-50C-
6703,,1962,50C,,PR,,0,6703,,16703,NGC,1962-50C-
6703,,1962,50C,,PR,,0,6703,,52410,ICG,1962-50C-
6704,,1963,50C,,PR,,0,6704,,6704,PCGS,1963-50C-
6704,,1963,50C,,PR,,0,6704,,16704,NGC,1963-50C-
6704,,1963,50C,,PR,,0,6704,,52480,ICG,1963-50C-
6705,,KENNEDY,50C,,MS,,0,6705,1/1/1900,6705,PCGS,KENNEDY-50C-
6706,,1964,50C,,MS,,0,6706,,6706,PCGS,1964-50C-
6706,,1964,50C,,MS,,0,6706,,16706,NGC,1964-50C-
6706,,1964,50C,,MS,,0,6706,,52530,ICG,1964-50C-
6706,,1964,50C,,MS,,0,6706,,76045,NGC,1964-50C-
6706,,1964,50C,,MS,,0,6706,,700306,NGC,1964-50C-
6707,,1964-D,50C,,MS,,0,6707,,6707,PCGS,1964-D-50C-
6707,,1964-D,50C,,MS,,0,6707,,16707,NGC,1964-D-50C-
6707,,1964-D,50C,,MS,,0,6707,,52610,ICG,1964-D-50C-
6707,,1964-D,50C,,MS,,0,6707,,818255,NGC,1964-D-50C-
6707,,1964-D,50C,,MS,,0,6707,,818256,NGC,1964-D-50C-
6707,,1964-D,50C,,MS,,0,6707,,818257,NGC,1964-D-50C-
6708,,1965,50C,,MS,,0,6708,,6708,PCGS,1965-50C-
6708,,1965,50C,,MS,,0,6708,,16708,NGC,1965-50C-
6708,,1965,50C,,MS,,0,6708,,52620,ICG,1965-50C-
6709,,1966,50C,,MS,,0,6709,,6709,PCGS,1966-50C-
6709,,1966,50C,,MS,,0,6709,,16709,NGC,1966-50C-
6709,,1966,50C,,MS,,0,6709,,52660,ICG,1966-50C-
6709,,1966,50C,,MS,,0,6709,,818259,NGC,1966-50C-
6710,,1967,50C,,MS,,0,6710,,6710,PCGS,1967-50C-
6710,,1967,50C,,MS,,0,6710,,16710,NGC,1967-50C-
6710,,1967,50C,,MS,,0,6710,,52700,ICG,1967-50C-
6711,,1968-D,50C,,MS,,0,6711,,6711,PCGS,1968-D-50C-
6711,,1968-D,50C,,MS,,0,6711,,16711,NGC,1968-D-50C-
6711,,1968-D,50C,,MS,,0,6711,,52740,ICG,1968-D-50C-
6712,,1969-D,50C,,MS,,0,6712,,6712,PCGS,1969-D-50C-
6712,,1969-D,50C,,MS,,0,6712,,16712,NGC,1969-D-50C-
6712,,1969-D,50C,,MS,,0,6712,,52780,ICG,1969-D-50C-
6713,,1970-D,50C,,MS,,0,6713,,6713,PCGS,1970-D-50C-
6713,,1970-D,50C,,MS,,0,6713,,52820,ICG,1970-D-50C-
6713,,1970-D,50C,,MS,,0,6713,,16713,NGC,1970-D-50C-
6716,,1971,50C,,MS,,0,6716,,6716,PCGS,1971-50C-
6716,,1971,50C,,MS,,0,6716,,16716,NGC,1971-50C-
6716,,1971,50C,,MS,,0,6716,,52860,ICG,1971-50C-
6717,,1971-D,50C,,MS,,0,6717,,6717,PCGS,1971-D-50C-
6717,,1971-D,50C,,MS,,0,6717,,16717,NGC,1971-D-50C-
6717,,1971-D,50C,,MS,,0,6717,,52870,ICG,1971-D-50C-
6717,,1971-D,50C,,MS,,0,6717,,818261,NGC,1971-D-50C-
6718,,1972,50C,,MS,,0,6718,,6718,PCGS,1972-50C-
6718,,1972,50C,,MS,,0,6718,,16718,NGC,1972-50C-
6718,,1972,50C,,MS,,0,6718,,52910,ICG,1972-50C-
6719,,1972-D,50C,,MS,,0,6719,,6719,PCGS,1972-D-50C-
6719,,1972-D,50C,,MS,,0,6719,,16719,NGC,1972-D-50C-
6719,,1972-D,50C,,MS,,0,6719,,52920,ICG,1972-D-50C-
